"projectID";"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents"
"101084158";"https://solarx-project.eu/";"1dc77fb8ebb0491e8853dd7d128b21e2";"en";"";"";"relatedWebsite";"editorial";"project"
"101084158";"https://www.linkedin.com/company/solarx-eu-project/";"2de4f5c5aee0f9b51bac6a765a60b279";"en";"";"";"socialMedia";"editorial";"linkedIn"
"101084158";"https://twitter.com/SOLARX_EU";"1b17f0b6bce86b642338b11c00105554";"en";"";"";"socialMedia";"editorial";"twitter"
"101040994";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f1de8974&appId=PPGMS";"9ea78ae22dead51c0035d7d47d5b28cc";"en";"";"";"projectDeliverable";"corda";""
"101083827";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f865858b&appId=PPGMS";"62db6b78cd5d3980d0d4c2f39f93a429";"en";"";"";"projectDeliverable";"corda";""
"101083827";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fc7532b7&appId=PPGMS";"40bb03e276767446681b92407118a7b2";"en";"";"";"projectDeliverable";"corda";""
"101083827";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fc775ffc&appId=PPGMS";"8242eed9682689f2517e78326ce1bfd1";"en";"";"";"projectDeliverable";"corda";""
"101083827";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f89cf71d&appId=PPGMS";"8ef8e23d357f13a56de80775cb52da5e";"en";"";"";"projectDeliverable";"corda";""
"101046297";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f47a8d51&appId=PPGMS";"1897d2b89276bfc1be7f4a0f78630f56";"en";"";"";"projectDeliverable";"corda";""
"101046297";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50224a3b5&appId=PPGMS";"b3ecab2584b2823ad596d68fbed2bc09";"en";"";"";"projectDeliverable";"corda";""
"101046297";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f5c80048&appId=PPGMS";"a25b2d4c68f14b4c68d872ee1d9ace18";"en";"";"";"projectDeliverable";"corda";""
