"projectID";"topic";"title"
"101101967";"HORIZON-JU-CLEAN-AVIATION-2022-01-HPA-02";"Multi-MW Fuel Cell Propulsion System for Hydrogen-Powered Aircraft"
"190188980";"HORIZON-EIC-2022-ACCELERATORCHALLENGES-02";"EIC Accelerator Challenge: Technologies for ‘Fit for 55’"
"101065152";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101137792";"HORIZON-JTI-CLEANH2-2023-01-05";"Waste to Hydrogen demonstration plant"
"101156725";"ERC-2023-POC";"ERC PROOF OF CONCEPT GRANTS"
"101106064";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101115709";"ERC-2023-STG";"ERC STARTING GRANTS"
"101122231";"HORIZON-CL5-2022-D3-03-01";"Innovative components and/or sub-systems for CSP plants and/or concentrating solar thermal installations"
"101078304";"ERC-2022-STG";"ERC STARTING GRANTS"
"101113333";"ERC-2022-POC2";"ERC PROOF OF CONCEPT GRANTS2"
"101122206";"HORIZON-CL5-2022-D3-03-07";"Development of algal and renewable fuels of non-biological origin"
"101069605";"HORIZON-CL5-2021-D2-01-08";"Emerging technologies for a climate neutral Europe"
"101111977";"HORIZON-KDT-JU-2022-1-IA-Topic-1";"General according to ECS-SRIA 2022 (IA)"
"101105363";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101046307";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101108639";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101108100";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101110795";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101110423";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101098168";"ERC-2022-ADG";"ERC ADVANCED GRANTS"
"101147112";"HORIZON-CL5-2023-D3-02-08";"Development of microalgae and/or direct solar fuel production and purification technologies for advanced aviation and /or shipping fuels"
"101059543";"HORIZON-EURATOM-2021-NRT-01-02";"Safety of advanced and innovative nuclear designs and fuels"
"101138112";"HORIZON-CL4-2023-RESILIENCE-01-03";"Technologies for processing and refining of critical raw materials (IA)"
"101069447";"ERC-2022-POC1";"ERC PROOF OF CONCEPT GRANTS1"
"101039802";"ERC-2021-STG";"ERC STARTING GRANTS"
"101115295";"HORIZON-EIC-2022-PATHFINDERCHALLENGES-01-03";"EIC Pathfinder Challenge: Cardiogenomics"
"101113260";"HORIZON-EIC-2022-TRANSITIONOPEN-01";"EIC Transition Open 2022"
"101093572";"ERC-2022-ADG";"ERC ADVANCED GRANTS"
"101110156";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101100953";"ERC-2022-POC2";"ERC PROOF OF CONCEPT GRANTS2"
"101091682";"HORIZON-CL4-2022-RESILIENCE-01-07";"Innovative solutions for efficient use and enhanced recovery of mineral and metal by-products from processing of raw materials (IA)"
"101106295";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101130883";"HORIZON-EIC-2023-PATHFINDEROPEN-01-01";"EIC Pathfinder Open"
"101135075";"HORIZON-CL4-2023-SPACE-01-63";"Quantum Space Gravimetry Phase-A Study"
"101070441";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-07";"Advanced Photonic Integrated Circuits (Photonics Partnership) (RIA)"
"101103873";"HORIZON-CL5-2022-D2-01-02";"Interface and electron monitoring for the engineering of new and emerging battery technologies (Batteries Partnership)"
"101069789";"HORIZON-CL5-2021-D2-01-01";"Sustainable processing, refining and recycling of raw materials (Batteries Partnership)"
"101112054";"HORIZON-JTI-CLEANH2-2022-06-02";"Hydrogen Valleys (small-scale)"
"101138646";"HORIZON-CL4-2023-TWIN-TRANSITION-01-42";"Circular economy in process industries: Upcycling large volumes of secondary resources (Processes4Planet partnership) (RIA)"
"101064343";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101075400";"HORIZON-CL5-2021-D3-02-15";"Support to the activities of the ETIPs and technology areas of the SET Plan"
"101097738";"ERC-2022-ADG";"ERC ADVANCED GRANTS"
"101158287";"ERC-2023-POC";"ERC PROOF OF CONCEPT GRANTS"
"101069232";"ERC-2022-POC1";"ERC PROOF OF CONCEPT GRANTS1"
